profile,gender,age,favorites_anime
DesolatePsyche,Male,26,"['33352', '25013', '5530', '33674', '1482', '269', '18245', '2904', '27899', '17074', '12291', '226', '28851', '8525', '6594', '4981', '1698', '457', '235', '34618']"
baekbeans,Female,20,"['11061', '31964', '853', '20583', '918', '9253', '34599', '3588', '13601', '6956']"
aManOfCulture99,Male,21,"['4181', '7791', '9617', '5680', '2167', '4382', '849', '235', '35180', '31646']"
NIGGER_BONER,Male,35,"['11061', '30', '6594', '28701', '10087', '6746', '918', '1535', '24415', '5081']"
jchang,Male,28,"['846', '2904', '5114', '2924', '72']"
angelsreview,Female,31,"['534', '71', '7724', '861', '5060', '853']"
CalebTheMenace,Male,16,"['4181', '11617', '1735', '35849', '28999', '29803', '31964', '36098', '5081', '8525']"
Eanki,Male,25,"['27989', '28851', '17265', '15227', '35557', '24', '5420', '4224', '23289', '31859']"
NekoKyupi,Male,19,"['34599', '4181', '9756', '32949', '30654', '28851']"
OVERPOWERED99,Male,20,"['5680', '15051', '31953', '31964', '16498', '6213', '21647', '3455', '12189', '18679']"
JoJo_Stalin,Male,20,"['1050', '227', '1921', '1029', '18679']"
Kaishuu,Male,21,"['27899', '1535', '2167', '22319']"
Leyvon,Male,30,"['1735', '1575', '226', '1535', '2167']"
Sime3134,Male,24,"['4181', '9989', '8425', '27899', '1889']"
Itaku,Male,27,['10049']
Lucryllin,Male,33,"['177', '861', '66', '2167', '4181']"
ggultra2764,Male,35,"['512', '7193', '165', '440', '634']"
0Seru0,Male,30,"['7661', '582', '33', '2904', '1425', '1453', '1608', '22687', '21', '1470']"
BowlingJD,Male,32,"['21', '235', '19', '302', '90', '474', '1453']"
greatyu,Female,27,"['20', '21', '918', '11061', '934', '13125']"
Slushpuppy282,Female,30,"['407', '3588', '177', '1604', '269']"
mattpointon77,Male,43,"['59', '205', '513', '1029', '1279', '7465', '6802', '34537', '7785', '7588']"
Abeyant,Male,20,"['35839', '457', '7785', '35079', '34599', '5114', '22789', '13125', '12355', '9253']"
HybridMedia,Male,30,"['1016', '1292', '205', '47', '1']"
eyerok,Male,33,"['820', '457', '205', '467', '1', '22135', '1030', '601', '283', '44']"
tinypinkghostie,Female,37,"['23289', '1412', '11843', '32281', '35062']"
BabyGirl06301,Female,23,"['20', '18507', '18689', '20583', '11771', '31964', '20507', '5114', '10800', '28171']"
Eoussama,Male,22,"['37510', '4181', '21', '2035']"
ParaParaJMo,Male,36,"['1362', '263', '81', '2402', '85', '37991']"
Eneko-chan,Female,31,"['2164', '153', '584', '60', '182']"
Lima-Sama,Male,55,"['21', '223', '20', '11061']"
Algirdyz,Male,28,"['820', '26', '457', '32', '875']"
Baconzombie,Male,25,"['3297', '820', '19', '387', '1827', '457', '2251', '467', '5114', '329']"
AlexJetski,Male,20,"['14719', '820', '7785', '26', '10721', '9996', '31646', '10087', '3002', '2559']"
steampunkvillain,Male,30,"['9253', '7588', '790']"
BienAgiter,Male,29,"['2904', '4181', '5114', '3784', '6594']"
bleeb,Female,30,"['431', '114', '1205', '3326']"
